uid	streams-0-level	tag
10023277	5	bad
10023302	2	bad
10023316	2	good
10023330	2	good
10023332	2	bad
10023343	2	bad
10023344	5	good
10023388	5	good
10023394	2	good
10023407	5	good
10023433	2	good
10023449	5	bad
10023450	2	good
10023455	2	good
10023464	2	good
10023480	2	good
10023501	2	bad
10023503	2	good
10023535	2	good
10023540	2	good
10023541	2	good
10023577	5	bad
10023585	2	bad
10023586	2	good
10023612	2	good
10023617	2	good
10023627	2	bad
10023633	2	good
10023641	5	good
10023686	2	good
10023690	2	bad
10023715	2	good
10023731	2	good
10023801	2	good
10023809	2	good
10023819	2	good
10023836	2	good
10023848	2	good
10023858	2	bad
10023863	2	good
10023878	2	bad
10023879	5	good
10023894	2	good
10023901	2	good
10023906	2	good
10023907	2	bad
10023918	5	bad
10023928	5	good
10023944	5	good
10023948	2	good
10023980	2	bad
10023987	1	good
10023994	5	good
10024010	2	good
10024019	2	good
10024023	2	good
10024030	2	bad
10024045	2	good
10024063	2	good
10024074	2	good
10024090	2	bad
10024137	2	good
10024176	2	bad
10024177	2	good
10024180	2	good
10024184	5	good
10024216	2	good
10024239	2	bad
10024240	2	bad
10024247	2	good
10024254	5	good
10024266	2	good
10024275	2	bad
10024277	5	good
10024278	2	bad
10024280	2	bad
10024286	2	bad
10024288	2	good
10024305	2	bad
10024307	2	bad
10024309	2	good
10024357	5	good
10024358	2	bad
10024362	2	bad
10024431	2	bad
10024432	5	good
10024434	5	bad
10024448	2	bad
10024487	2	good
10024514	2	good
10024520	2	good
10024544	5	bad
10024545	2	bad
10024553	2	good
10024567	2	bad
10024577	2	good
10024594	2	good
10024627	2	good
10024630	5	good
10024631	2	good
10024727	6	bad
10024728	2	good
10024756	2	good
10024764	2	bad
10024773	2	bad
10024774	2	good
10024776	2	good
10024787	2	good
10024792	5	good
10024793	2	good
10024800	5	bad
10024805	2	good
10024808	5	bad
10024812	2	good
10024817	5	good
10024835	5	good
10024838	2	bad
10024839	2	good
10024845	2	bad
10024870	2	good
10024877	2	good
10024878	2	bad
10024885	2	good
10024891	5	good
10024893	2	good
10024894	2	bad
10024896	2	bad
10024901	2	good
10024904	5	good
10024913	2	bad
10024917	2	bad
10024947	2	bad
10024953	2	good
10024966	2	good
10024974	2	good
10025008	5	good
10025049	2	good
10025073	2	bad
10025077	2	good
10025106	2	good
10025110	2	bad
10025126	2	good
10025131	2	bad
10025156	2	good
10025159	2	bad
10025161	2	good
10025164	2	bad
10025167	2	good
10025169	2	bad
10025184	5	good
10025197	2	bad
10025216	2	good
10025219	2	bad
10025233	5	bad
10025236	5	bad
10025272	5	good
10025307	5	good
10025326	2	good
10025346	2	bad
10025368	3	good
10025371	2	good
10025392	2	good
10025428	2	good
10025438	2	bad
10025439	5	good
10025458	5	bad
10025479	5	good
10025512	2	good
10025527	2	good
10025534	2	bad
10025538	5	bad
10025560	2	good
10025565	2	bad
10025574	2	good
10025591	5	good
10025595	2	bad
10025614	2	bad
10025693	2	good
10025698	2	bad
10025717	2	bad
10025727	2	good
10025736	2	bad
10025773	2	bad
10025794	5	bad
10025840	2	bad
10025842	2	bad
10025888	2	bad
10025890	2	bad
10025925	5	good
10025954	5	bad
10025962	2	good
10025974	5	bad
10025992	2	good
10026006	2	good
10026008	2	bad
10026016	2	good
10026019	2	bad
10026032	2	good
10026041	2	good
10026043	2	bad
10026045	2	bad
10026062	5	bad
10026078	2	bad
10026079	2	bad
10026090	2	good
10026096	5	bad
10026099	2	bad
10026107	2	good
10026117	5	bad
10026121	2	good
10026128	2	good
10026169	2	bad
10026176	2	good
10026186	2	bad
10026205	5	bad
10026230	2	bad
10026239	2	good
10026264	2	good
10026266	5	bad
10026281	2	bad
10026282	5	good
10026288	2	bad
10026304	2	good
10026327	2	good
10026339	5	bad
10026356	2	bad
10026361	5	good
10026365	5	good
10026372	2	good
10026390	2	good
10026404	5	bad
10026411	2	good
10026430	2	good
10026438	2	bad
10026463	2	good
10026497	2	good
10026513	2	good
10026516	2	bad
10026527	2	good
10026533	2	good
10026542	5	good
10026548	2	good
10026583	2	good
10026593	2	good
10026600	2	good
10026619	2	bad
10026624	2	bad
10026631	2	good
10026636	2	bad
10026646	5	good
10026647	2	bad
10026657	2	bad
10026689	2	good
10026699	2	good
10026705	2	bad
10026709	5	good
10026714	2	good
10026727	2	bad
10026741	2	good
10026753	2	bad
10026757	5	good
10026786	5	bad
10026790	2	good
10026798	2	good
10026801	2	good
10026822	2	bad
10026833	5	good
10026876	2	good
10026887	2	good
10026889	2	bad
10026892	2	bad
10026923	2	bad
10026928	2	bad
10026944	2	bad
10026966	5	good
10026968	2	bad
10026972	2	good
10026983	2	good
10026986	2	good
10026988	2	good
10026993	2	good
10027004	2	bad
10027009	2	good
10027022	2	bad
10027027	3	bad
10027034	2	good
10027039	2	bad
10027053	2	good
10027123	2	good
10027177	2	bad
10027229	2	bad
10027252	5	good
10027301	2	good
10027309	2	good
10027318	2	good
10027363	2	good
10027371	2	bad
10027386	2	bad
10027387	5	good
10027393	5	bad
10027404	2	good
10027407	2	bad
10027433	2	good
10027434	2	bad
10027443	2	bad
10027463	8	good
10027472	2	good
10027483	2	bad
10027486	2	good
10027528	5	bad
10027543	2	bad
10027546	2	bad
10027549	2	good
10027574	2	bad
10027583	2	good
10027595	2	good
10027600	5	good
10027611	5	bad
10027638	2	good
10027647	5	good
10027661	2	bad
10027667	5	bad
10027695	5	good
10027700	5	bad
10027701	2	good
10027702	2	bad
10027726	5	good
10027730	5	good
10027754	2	good
10027773	2	good
10027790	2	bad
10027792	2	bad
10027793	2	bad
10027857	5	good
10027861	2	good
10027869	2	good
10027879	2	bad
10027914	2	bad
10027921	2	bad
10027940	2	bad
