uid	streams-1-max_bit_rate	tag
10020378	5	good
10020391	5	good
10020406	5	bad
10020413	4	bad
10020440	5	good
10020444	5	good
10020503	5	bad
10020519	5	good
10020548	0	bad
10020591	5	good
10020596	5	bad
10020602	0	good
10020610	5	bad
10020629	4	good
10020647	0	good
10020653	5	good
10020655	5	bad
10020687	5	good
10020692	3	bad
10020697	5	bad
10020701	5	good
10020773	5	good
10020779	5	good
10020784	1	bad
10020790	5	good
10020797	5	good
10020809	0	bad
10020818	5	good
10020849	5	good
10020864	5	bad
10020934	0	good
10020938	5	good
10020942	5	good
10020951	5	good
10020954	5	good
10020965	0	bad
10020967	5	good
10020989	5	good
10021005	5	good
10021013	0	good
10021024	5	bad
10021030	5	bad
10021052	5	good
10021053	5	good
10021063	4	good
10021067	5	good
10021097	1	good
10021098	5	good
10021106	5	good
10021126	5	bad
10021144	5	good
10021154	5	bad
10021156	5	good
10021161	5	bad
10021196	5	good
10021210	5	good
10021213	5	good
10021257	5	good
10021286	5	bad
10021289	5	good
10021316	0	good
10021353	5	bad
10021393	1	bad
10021395	5	bad
10021398	5	bad
10021419	5	bad
10021421	5	good
10021422	5	bad
10021424	5	bad
10021436	5	bad
10021445	5	good
10021462	5	bad
10021464	3	bad
10021465	5	good
10021469	5	bad
10021484	5	bad
10021496	0	bad
10021502	0	bad
10021553	5	bad
10021557	5	bad
10021558	5	good
10021608	4	bad
10021624	5	good
10021625	4	good
10021643	5	bad
10021665	5	bad
10021673	5	bad
10021690	5	good
10021712	5	good
10021746	3	good
10021747	5	good
10021767	0	good
10021768	5	good
10021785	5	good
10021789	5	good
10021840	5	good
10021861	5	bad
10021893	0	good
10021919	5	good
10021940	3	good
10021954	5	good
10021962	0	bad
10021995	5	bad
10022005	5	good
10022012	5	bad
10022014	4	good
10022018	5	good
10022031	5	bad
10022041	3	good
10022144	5	bad
10022166	3	bad
10022168	0	good
10022196	5	good
10022216	5	good
10022227	5	bad
10022244	5	bad
10022255	5	good
10022273	5	good
10022295	5	good
10022323	0	good
10022338	5	bad
10022339	0	good
10022345	5	good
10022353	0	bad
10022372	5	bad
10022382	5	good
10022384	5	good
10022392	5	bad
10022420	0	good
10022429	0	good
10022445	5	good
10022448	5	good
10022473	0	good
10022491	5	good
10022494	5	good
10022498	5	good
10022517	3	good
10022522	0	good
10022539	4	good
10022550	5	good
10022558	3	good
10022559	5	good
10022572	5	bad
10022614	1	good
10022642	0	bad
10022651	5	bad
10022677	4	good
10022686	5	bad
10022722	5	bad
10022725	5	good
10022736	5	good
10022746	5	bad
10022747	5	bad
10022768	5	good
10022780	0	good
10022788	5	good
10022794	5	bad
10022801	5	good
10022802	5	good
10022819	5	good
10022833	5	good
10022834	5	good
10022850	5	good
10022857	5	good
10022909	5	good
10022911	5	bad
10022915	5	good
10022931	5	good
10022934	0	good
10022978	5	good
10022979	0	good
10022999	1	good
10023065	5	good
10023067	0	good
10023069	5	bad
10023090	5	good
10023093	5	bad
10023103	5	good
10023135	4	bad
10023170	0	good
10023177	5	good
10023187	5	good
10023210	5	good
10023221	5	good
10023230	0	good
10023255	5	bad
10023264	5	bad
10023269	5	bad
10023277	0	bad
10023302	5	bad
10023316	5	good
10023330	5	good
10023332	5	bad
10023343	5	bad
10023344	0	good
10023388	0	good
10023394	5	good
10023407	1	good
10023433	5	good
10023449	0	bad
10023450	5	good
10023455	5	good
10023464	3	good
10023480	5	good
10023501	3	bad
10023503	4	good
10023535	5	good
10023540	5	good
10023541	5	good
10023577	0	bad
10023585	5	bad
10023586	4	good
10023612	3	good
10023617	5	good
10023627	5	bad
10023633	5	good
10023641	0	good
10023686	5	good
10023690	5	bad
10023715	5	good
10023731	5	good
10023801	5	good
10023809	5	good
10023819	5	good
10023836	5	good
10023848	5	good
10023858	5	bad
10023863	5	good
10023878	5	bad
10023879	0	good
10023894	5	good
10023901	5	good
10023906	5	good
10023907	5	bad
10023918	0	bad
10023928	0	good
10023944	0	good
10023948	5	good
10023980	5	bad
10023987	3	good
10023994	0	good
10024010	5	good
10024019	5	good
10024023	5	good
10024030	5	bad
10024045	4	good
10024063	5	good
10024074	5	good
10024090	4	bad
10024137	5	good
10024176	5	bad
10024177	5	good
10024180	5	good
10024184	0	good
10024216	5	good
10024239	5	bad
10024240	5	bad
10024247	5	good
10024254	0	good
10024266	5	good
10024275	5	bad
10024277	0	good
10024278	5	bad
10024280	5	bad
10024286	5	bad
10024288	4	good
10024305	5	bad
10024307	5	bad
10024309	5	good
10024357	0	good
10024358	5	bad
10024362	5	bad
10024431	5	bad
10024432	1	good
10024434	0	bad
10024448	5	bad
10024487	4	good
10024514	5	good
10024520	5	good
10024544	0	bad
10024545	5	bad
10024553	5	good
10024567	3	bad
10024577	5	good
10024594	5	good
10024627	5	good
10024630	0	good
10024631	5	good
10024727	5	bad
10024728	5	good
10024756	5	good
10024764	4	bad
10024773	4	bad
10024774	5	good
10024776	5	good
10024787	5	good
10024792	0	good
10024793	5	good
10024800	0	bad
10024805	5	good
10024808	0	bad
10024812	5	good
10024817	0	good
10024835	1	good
10024838	5	bad
10024839	4	good
10024845	5	bad
10024870	5	good
10024877	5	good
10024878	5	bad
10024885	5	good
10024891	0	good
10024893	5	good
10024894	5	bad
10024896	5	bad
10024901	5	good
10024904	0	good
10024913	5	bad
10024917	5	bad
10024947	5	bad
10024953	0	good
10024966	5	good
10024974	5	good
10025008	0	good
10025049	5	good
10025073	5	bad
10025077	5	good
10025106	5	good
10025110	5	bad
10025126	5	good
10025131	5	bad
10025156	5	good
10025159	5	bad
10025161	5	good
10025164	5	bad
10025167	5	good
10025169	5	bad
10025184	0	good
10025197	5	bad
10025216	5	good
10025219	4	bad
10025233	0	bad
10025236	0	bad
10025272	0	good
10025307	0	good
10025326	5	good
10025346	5	bad
10025368	0	good
10025371	5	good
10025392	5	good
10025428	5	good
10025438	5	bad
10025439	0	good
10025458	0	bad
10025479	0	good
10025512	5	good
10025527	5	good
10025534	5	bad
10025538	1	bad
10025560	5	good
10025565	5	bad
10025574	5	good
10025591	0	good
10025595	5	bad
10025614	5	bad
10025693	5	good
10025698	3	bad
10025717	5	bad
10025727	5	good
10025736	5	bad
10025773	5	bad
10025794	0	bad
10025840	5	bad
10025842	5	bad
10025888	5	bad
10025890	5	bad
10025925	0	good
10025954	0	bad
10025962	5	good
10025974	0	bad
10025992	3	good
10026006	5	good
10026008	5	bad
10026016	5	good
10026019	5	bad
10026032	5	good
10026041	3	good
10026043	5	bad
10026045	5	bad
10026062	0	bad
10026078	5	bad
10026079	5	bad
10026090	5	good
10026096	0	bad
10026099	4	bad
10026107	5	good
10026117	0	bad
10026121	5	good
10026128	5	good
10026169	5	bad
10026176	5	good
10026186	5	bad
10026205	0	bad
10026230	5	bad
10026239	5	good
10026264	4	good
10026266	0	bad
10026281	5	bad
10026282	0	good
10026288	5	bad
10026304	5	good
10026327	5	good
10026339	0	bad
10026356	5	bad
10026361	0	good
10026365	0	good
10026372	5	good
10026390	5	good
10026404	0	bad
10026411	5	good
10026430	5	good
10026438	5	bad
10026463	5	good
10026497	5	good
10026513	5	good
10026516	3	bad
10026527	5	good
10026533	5	good
10026542	0	good
10026548	5	good
10026583	5	good
10026593	5	good
10026600	5	good
10026619	5	bad
10026624	5	bad
10026631	5	good
10026636	4	bad
10026646	0	good
10026647	5	bad
10026657	5	bad
10026689	4	good
10026699	5	good
10026705	5	bad
10026709	0	good
10026714	5	good
10026727	5	bad
10026741	5	good
10026753	5	bad
10026757	0	good
10026786	0	bad
10026790	5	good
10026798	5	good
10026801	5	good
10026822	5	bad
10026833	0	good
10026876	5	good
10026887	5	good
10026889	5	bad
10026892	5	bad
10026923	5	bad
10026928	5	bad
10026944	5	bad
10026966	0	good
10026968	5	bad
10026972	5	good
10026983	5	good
10026986	4	good
10026988	4	good
10026993	5	good
10027004	5	bad
10027009	4	good
10027022	5	bad
10027027	0	bad
10027034	5	good
10027039	5	bad
10027053	5	good
10027123	5	good
10027177	5	bad
10027229	5	bad
10027252	0	good
10027301	5	good
10027309	5	good
10027318	5	good
10027363	5	good
10027371	5	bad
10027386	5	bad
10027387	0	good
10027393	0	bad
10027404	5	good
10027407	5	bad
10027433	5	good
10027434	5	bad
10027443	5	bad
10027463	5	good
10027472	5	good
10027483	4	bad
10027486	5	good
10027528	0	bad
10027543	3	bad
10027546	5	bad
10027549	5	good
10027574	5	bad
10027583	4	good
10027595	5	good
10027600	0	good
10027611	0	bad
10027638	5	good
10027647	0	good
10027661	4	bad
10027667	0	bad
10027695	0	good
10027700	0	bad
10027701	0	good
10027702	5	bad
10027726	0	good
10027730	0	good
10027754	5	good
10027773	4	good
10027790	1	bad
10027792	5	bad
10027793	5	bad
10027857	0	good
10027861	5	good
10027869	5	good
10027879	5	bad
