uid	format-tags-com.android.version	tag
10014279	-1	bad
10014301	-1	good
10014322	-1	good
10014371	-1	bad
10014391	-1	bad
10014399	-1	good
10014439	-1	good
10014456	-1	good
10014460	-1	good
10014472	-1	good
10014508	-1	bad
10014548	0	bad
10014567	-1	good
10014588	-1	good
10014601	-1	good
10014606	-1	good
10014609	-1	good
10014610	-1	good
10014623	-1	bad
10014632	1	good
10014656	-1	good
10014659	-1	good
10014674	-1	good
10014692	-1	good
10014704	-1	good
10014706	-1	good
10014726	0	bad
10014732	-1	good
10014734	1	good
10014754	-1	good
10014773	-1	good
10014778	2	good
10014805	-1	good
10014834	-1	good
10014850	-1	good
10014879	-1	bad
10014901	-1	bad
10014968	-1	good
10014972	-1	good
10014973	-1	good
10014986	-1	good
10015021	-1	good
10015052	-1	good
10015068	-1	good
10015069	-1	good
10015078	-1	bad
10015085	-1	bad
10015129	-1	good
10015158	-1	good
10015172	1	good
10015223	-1	good
10015226	-1	good
10015230	1	good
10015248	-1	good
10015253	1	bad
10015267	-1	good
10015304	0	good
10015335	-1	bad
10015352	-1	good
10015363	-1	good
10015397	1	bad
10015399	-1	bad
10015413	-1	good
10015415	-1	bad
10015440	-1	bad
10015448	0	bad
10015451	-1	good
10015461	0	bad
10015468	-1	good
10015473	-1	bad
10015479	-1	good
10015483	0	good
10015485	1	good
10015489	-1	good
10015502	-1	good
10015517	-1	bad
10015554	-1	good
10015570	-1	good
10015589	-1	good
10015598	-1	good
10015625	-1	good
10015644	-1	good
10015652	1	bad
10015680	-1	bad
10015697	2	good
10015713	-1	bad
10015740	-1	good
10015746	-1	good
10015747	-1	good
10015769	1	bad
10015782	-1	good
10015783	-1	bad
10015842	-1	good
10015886	-1	good
10015925	-1	good
10015930	-1	bad
10015967	1	bad
10015991	-1	good
10016010	2	good
10016024	-1	good
10016056	-1	good
10016063	2	good
10016064	1	bad
10016096	-1	bad
10016117	-1	good
10016139	-1	good
10016198	-1	good
10016225	-1	good
10016249	-1	good
10016253	1	good
10016270	-1	good
10016279	-1	good
10016307	-1	good
10016340	-1	good
10016369	-1	good
10016377	1	bad
10016386	-1	good
10016394	-1	good
10016397	-1	good
10016429	0	bad
10016442	-1	good
10016464	-1	bad
10016495	-1	good
10016513	-1	bad
10016531	0	good
10016532	-1	bad
10016554	-1	good
10016569	-1	good
10016574	-1	good
10016581	-1	good
10016585	1	good
10016647	-1	good
10016678	-1	good
10016685	2	bad
10016689	-1	good
10016734	1	good
10016735	1	good
10016737	-1	good
10016744	-1	good
10016747	-1	good
10016753	-1	bad
10016765	-1	good
10016782	1	good
10016783	-1	good
10016784	1	bad
10016790	-1	bad
10016795	-1	good
10016801	-1	bad
10016804	0	bad
10016824	-1	good
10016833	-1	good
10016862	-1	bad
10016874	-1	good
10016877	-1	bad
10016890	1	good
10016912	0	bad
10016914	-1	good
10016920	-1	good
10016941	-1	good
10016975	-1	good
10016976	-1	good
10016977	2	good
10017008	0	bad
