uid	streams-0-r_frame_rate	format-duration	format-tags-creation_time	streams-1-nb_frames	format-start_time	streams-1-duration	streams-0-nb_frames	streams-0-tags-creation_time	streams-0-duration	streams-1-tags-creation_time	streams-1-duration_ts	streams-0-codec_time_base	streams-1-bit_rate	format-size	format-bit_rate	streams-1-start_pts	streams-0-avg_frame_rate	streams-0-duration_ts	streams-1-start_time	streams-0-bit_rate	tag
10021767	30	14571000	540	683	0	14600583	437	540	14554822	540	700828	60	128011	1619405	889111	0	30	1309934	0	758240	good
10021768	30	17985011	240	777	-9705	17974308	540	240	17985000	240	792667	60	81146	1586506	705701	-428	30	10791	-9705	620794	good
10021785	30	17063000	540	795	0	16981750	516	540	17063089	540	815124	60	95877	1830162	858072	0	30	1535678	0	757576	good
10021789	25	15396667	435	665	-8231	15340159	385	435	15396667	435	676501	50	84001	1376500	715219	-363	25	9238	-8231	627468	good
10021840	30	17062000	347	797	0	17029146	510	347	17062278	347	817399	60	95850	1814605	850828	0	30	1535605	0	750020	good
10021861	30	14682000	535	684	0	14592000	441	535	14684700	535	700416	60	96354	1565888	853228	0	30	1321623	0	751366	bad
10021893	60	13397000	538	628	0	13411958	266	538	13314789	538	643774	40	128030	1057261	631341	0	20	1198331	0	503297	good
10021919	30	16620000	624	719	-6440	16619025	499	624	16620000	624	732899	60	81655	1462975	704199	-284	30	9972	-6440	618615	good
10021940	25	17048000	1122	798	0	17024000	424	1122	17058278	1122	817152	50	256009	2139173	1003835	0	25	1535245	0	743531	good
10021954	25	16995011	539	736	-8776	16988209	425	539	16995000	539	749180	50	84347	1526053	718353	-387	25	10197	-8776	630078	good
10021962	10	14699000	153	689	0	14698667	143	153	14733767	153	705536	19	128058	694299	377875	0	10	1326039	0	246570	bad
10021995	27	17063000	545	794	0	16938667	463	545	17074589	545	813056	54	96345	1669311	782657	0	27	1536713	0	681422	bad
10022005	25	17955011	608	777	-771	17878594	449	608	17955000	608	788446	50	85400	1571295	700103	-34	25	10773	-771	610885	good
10022012	30	12949000	556	607	0	12949333	388	556	12972811	556	621568	60	96000	1387901	857456	0	30	1167553	0	753309	bad
10022014	30	14368980	1056	621	0	14368980	430	1056	14350000	1056	633672	60	64089	1253474	697877	840	30	8610	19048	630731	good
10022018	30	15040000	904	701	0	15003021	450	904	15039756	904	720145	60	95919	1601203	851703	0	30	1353578	0	750277	good
10022031	30	13213333	139	571	0	13200612	396	139	13213333	139	582147	60	84203	1207053	730809	515	30	7928	11678	642572	bad
10022041	30	13130000	502	612	0	13056000	394	502	13138111	502	626688	60	256036	1662523	1012961	0	30	1182430	0	752875	good
10022144	17	17024000	1223	798	0	17024000	327	1223	17047989	1223	817152	38	96312	1459555	685881	0	19	1534319	0	583662	bad
10022166	90000	17029000	550	798	0	17029083	397	550	17028833	550	817396	47	255943	2184037	1026031	0	23	1532595	0	765827	bad
10022168	17	13760000	1353	645	0	13774521	228	1353	13688378	1353	661177	33	127995	946569	550330	0	17	1231954	0	421541	good
10022196	25	16883741	701	732	-20385	16883741	422	701	16875000	701	744573	50	78173	1475295	699037	-899	25	10125	-20385	617208	good
10022216	30	16648000	726	777	0	16582999	503	726	16648311	726	795984	60	96315	1784553	857545	0	30	1498348	0	756336	good
10022227	30	13675000	553	641	0	13677854	411	553	13670256	553	656537	60	96332	1457638	852731	0	30	1230323	0	750239	bad
10022244	8	14208000	620	666	0	14207937	104	620	13660100	620	681981	15	96252	1459583	821837	0	8	1229409	0	748352	bad
10022255	30	14133000	559	661	0	14115646	424	559	14133333	559	677551	60	127989	1553764	879509	0	30	1272000	0	745235	good
10022273	30	13321678	547	577	-8231	13301882	400	547	13321667	547	586613	60	85442	1185460	711898	-363	30	7993	-8231	622208	good
10022295	30	13261000	552	619	0	13205333	394	552	13271178	552	633856	59	96339	1389382	838176	0	30	1194406	0	735078	good
10022323	30	16640000	552	780	0	16672167	498	552	16595478	552	800264	60	127903	1834414	881929	0	30	1493593	0	752466	good
